age,salary,experience,target
49.3762,81588.9154,25.7474,1
51.8059,53780.6866,18.5321,1
60.1688,78674.5882,27.278,1
53.9932,73170.2874,26.421,1
21.6417,33658.5658,0.0,0
28.8693,43040.301,10.0256,1
37.1572,40938.2055,6.4138,0
45.4517,67713.7251,21.4115,1
35.8779,57570.5813,14.1793,0
37.694,35980.6592,2.4828,0
28.3653,48049.107,5.5024,0
37.0029,57565.7307,11.5408,1
47.2461,77504.5373,22.6168,1
24.3779,27573.2029,1.2968,0
27.948,42947.8919,0.7464,0
29.8568,50861.3431,10.8311,0
64.9957,99347.6946,27.1248,1
62.6318,81338.1982,22.8442,1
23.9324,18121.9543,0.0,0
25.8861,35045.7767,9.6348,1
56.5072,85776.3125,26.945,1
63.0341,83736.2687,30.1697,1
50.4589,67519.6381,19.0361,1
23.6896,42406.9894,0.0,0
38.1338,53707.6555,7.9442,0
22.9603,52018.3308,6.9603,0
51.2435,67307.0258,14.3273,1
43.2941,51022.116,14.5632,1
30.6146,37546.7222,11.2615,1
39.8413,58447.1878,17.6614,1
57.9948,92910.2746,27.2067,1
50.9556,66383.5332,16.9273,0
22.0238,17496.5873,0.0,0
41.0686,46164.5984,6.8455,1
50.514,79851.5527,18.4757,1
53.059,72502.8575,23.2883,1
29.816,47535.9917,7.7648,0
26.702,43830.0789,7.1908,0
63.9005,86925.2131,26.5417,1
26.4338,48001.266,4.938,0
63.7919,78048.6147,23.5195,1
59.0178,90232.5585,33.1132,1
26.6651,54613.2291,10.6651,0
21.4819,26543.758,0.7933,0
44.4535,80144.4568,11.3961,1
55.1648,91784.4115,29.0624,1
38.8079,50518.9113,20.8209,1
52.7842,93176.0328,28.0576,1
49.0401,77967.2122,21.0021,1
45.9091,64397.253,17.3642,1
51.0404,65495.6296,14.3309,1
49.0756,72240.0406,15.8488,1
48.4388,74194.1721,26.1035,1
53.201,73269.3595,23.6406,1
50.3679,47385.3888,17.0825,1
19.8735,19739.8879,0.0,0
22.2924,35051.7167,6.2924,0
49.5972,62050.4708,14.8438,1
40.1135,30195.5789,7.2307,0
41.1111,74609.6502,19.1861,1
49.4963,70221.477,22.3191,1
56.2376,67008.9202,21.1703,1
33.1939,51917.254,12.5589,0
43.5019,54865.9809,14.2543,1
53.5528,57923.4888,17.3561,1
38.5915,62588.6445,17.3863,0
46.617,72151.3,17.9018,1
64.6361,100651.6526,28.9066,1
57.1107,70676.6707,18.134,1
64.0715,95032.2787,30.0911,1
61.3278,72554.0031,19.074,1
37.5023,56369.7978,8.4328,0
31.2934,49596.9038,4.8938,1
43.3133,55389.63,15.3096,1
39.4012,57811.1921,11.2606,1
54.4506,82733.3903,17.8195,1
56.1362,81148.2146,19.5652,1
19.7399,15174.9615,0.0,0
59.0869,81284.0855,21.5866,1
48.7747,79295.5371,21.2039,1
33.9124,30589.6829,6.2804,0
35.8604,30930.5501,2.9166,0
59.002,90577.8814,28.2927,0
53.098,59984.1598,14.9504,1
59.0112,79337.3262,20.152,1
31.7883,38113.9107,6.2601,0
44.5986,59925.968,16.9962,1
29.319,51009.8857,9.604,0
29.9369,41083.4576,5.6939,0
25.4249,20810.4895,0.0,0
48.0301,66457.9835,15.7064,1
40.7108,53627.1831,10.9941,1
64.6565,112010.3106,27.2279,1
50.2326,66989.8887,17.3054,1
41.3462,60025.7591,16.9744,1
47.921,48821.8907,12.8,0
48.9815,66663.2999,22.7628,1
38.7187,35152.8759,8.3369,1
31.8702,37706.5337,7.0623,0
42.9501,82289.5583,19.2204,1
56.7604,69956.7437,16.9246,1
63.256,100134.5262,25.6126,1
52.0382,94385.8725,33.3023,1
18.6542,17107.085,0.0,0
49.6,50300.1789,12.6589,1
19.1762,34520.5322,0.0,0
28.4043,57917.7693,12.3442,1
24.5695,34712.3434,0.0,0
22.568,28503.3897,2.2543,0
62.4608,83716.4079,31.0573,1
37.4996,65731.7245,15.3992,1
35.4149,40424.2411,15.7014,0
22.6697,17546.9901,0.0,0
26.921,45877.3819,2.9545,0
49.1501,54954.0095,15.7304,1
23.9184,29266.1298,2.4398,0
27.7364,56744.3224,6.059,0
18.1333,29069.6841,0.0,0
29.7807,56419.3599,8.626,0
29.1828,36619.3139,5.2972,1
52.8607,61021.3099,14.8731,1
23.1255,12000.0,1.9714,0
54.8117,79174.9056,27.2881,1
40.5121,52050.8663,16.3527,1
60.7559,94248.2377,29.5579,1
47.7546,59552.199,17.4997,0
42.9362,53356.1971,9.1947,0
48.5931,79199.8421,23.2323,1
39.2231,63607.0897,12.9522,1
38.0579,51347.0585,12.906,1
61.3803,111552.1936,36.1055,1
56.1532,73694.4115,25.7115,1
33.4934,56797.4548,11.299,0
51.8899,74677.7598,15.0604,1
45.1622,79412.6637,18.2034,1
35.2754,53370.9677,11.6839,0
57.7223,97425.7403,33.9264,1
61.667,86495.9085,24.3343,1
51.0268,78423.7471,19.414,1
36.8369,59285.3788,11.0311,1
53.0673,87786.0484,23.3889,1
54.5113,83037.8478,27.0477,1
25.3983,19526.8019,0.0,0
38.7761,64278.152,18.6424,1
38.2059,63209.7546,10.2624,1
36.5774,50837.691,11.0556,1
27.928,45835.6171,6.5176,0
26.2577,25262.1037,3.5599,0
57.1676,81878.9249,25.9226,1
61.2946,95842.7123,27.2821,1
51.3465,72965.5719,19.1944,1
47.0519,77918.1866,18.5585,1
57.6908,96482.5844,25.9492,1
33.9571,42610.1415,7.9316,0
23.3593,26385.7172,0.0,0
56.3067,93764.1271,30.5871,1
46.3128,54747.9199,17.9266,1
53.459,91304.8802,29.6005,1
44.5311,46851.6876,12.0659,1
21.2095,20189.7884,0.0,0
20.6401,26441.5169,0.0,0
21.6064,38366.621,0.1749,0
41.8322,51343.4958,8.7145,1
56.0613,60636.4574,15.2809,1
25.0905,37249.1375,4.1717,0
41.7138,57415.1705,11.7493,1
38.6528,48447.3962,9.3711,1
33.9033,38962.2281,11.2001,0
21.0979,43262.2027,4.9683,0
60.5981,107781.1274,34.8431,1
24.6471,45933.7322,0.0,0
62.0861,80883.6306,24.6063,1
56.2197,60791.448,20.5695,1
48.3632,49886.6738,12.1547,1
26.4724,59007.3663,5.6586,1
21.6268,29267.1034,0.0092,0
57.2506,84129.6935,26.31,1
35.7058,69792.6094,16.4291,1
56.0251,94395.6086,26.9419,1
38.8773,57934.934,15.7427,1
43.0985,70035.7172,12.2039,1
62.5151,104942.8904,30.8238,1
35.948,27266.0854,0.0,0
29.7502,18398.5168,0.0,0
22.8217,24023.7423,5.5693,0
60.5494,108570.4477,35.2082,1
28.4358,32557.1531,0.6552,0
29.0816,47269.8597,5.347,1
61.7488,87212.9251,32.0843,1
56.9988,77655.9646,22.8329,1
39.0843,58194.3872,14.128,1
52.18,87537.496,30.2656,1
32.1541,54448.6614,11.7969,1
60.5419,79165.3657,22.9643,1
29.3711,51571.2258,8.2617,0
49.2255,86758.8808,17.3976,1
42.7248,34589.2116,1.51,0
47.8765,72564.4006,17.1368,1
55.0604,84297.0245,19.7008,1
33.6284,45855.6301,2.7942,0
26.2292,26329.1549,3.961,0
20.9657,28410.8036,0.0,0
20.0589,28979.3436,0.0,0
43.5224,57484.582,13.2943,1
34.7778,34254.015,10.9368,1
59.8059,91081.3178,29.2398,1
63.765,84958.9063,24.7929,1
52.1728,81339.7455,19.2308,1
43.6373,63698.6128,14.7834,1
38.0275,44037.206,8.2772,1
58.8917,92995.5267,16.972,1
21.5269,32007.2594,5.5269,0
49.9323,75226.9856,22.5,1
21.16,28371.7498,0.0,0
44.6605,45915.4492,10.9573,0
44.9743,53239.0214,15.1697,1
29.7317,58965.5765,11.1204,0
30.3035,39997.6292,6.0053,0
31.4221,45773.2406,11.3112,1
60.2379,96721.7782,33.6673,1
57.7395,88629.7719,23.9719,1
58.014,84717.9159,28.1621,1
55.3037,76379.4214,21.693,1
19.2353,19351.2749,0.3544,0
43.9274,57476.2619,14.3304,0
42.7077,84268.5904,26.7077,1
63.7018,81437.2131,26.945,1
54.6724,69462.9244,19.7805,0
38.3331,54342.0112,13.0464,1
33.1651,46552.7646,9.863,0
60.0615,86781.4934,29.3421,1
32.2328,25928.1246,3.0955,0
62.2555,109237.5951,32.7205,1
44.49,53186.1575,10.1624,1
48.1483,52885.8042,13.0413,1
41.4078,44948.9005,9.3285,0
40.6984,49400.3118,15.7672,1
38.6615,51402.1243,13.6708,1
32.6914,28153.7116,6.2512,1
35.4154,24497.2737,0.2602,0
30.5712,44861.3495,6.1978,0
29.6687,50781.9993,9.8116,1
45.1513,72375.7548,13.7367,1
32.5014,64467.6873,7.62,0
63.4343,103380.6343,30.7448,1
48.7502,62955.1496,20.9024,1
38.2536,54059.8733,17.0683,1
44.8032,59679.0188,12.139,1
41.7,52668.4201,14.5135,1
63.8289,81835.8952,29.6513,1
62.1306,86362.8647,28.9875,1
24.4407,25732.4682,1.4538,0
46.4942,58520.4683,13.6428,0
52.748,71149.0671,20.3908,1
43.02,52306.1747,14.1605,1
64.0552,74521.0845,26.329,1
50.3381,83760.8769,25.4374,1
45.1488,59476.0013,15.0514,1
47.5642,45567.8638,12.1038,1
62.5656,103906.2232,34.6521,1
25.1173,20926.4322,0.5552,0
52.5844,62240.6343,12.0181,1
33.2773,31173.0349,5.2407,0
34.0894,42469.4805,11.2599,0
48.2355,54534.0428,16.7361,1
28.5688,50646.435,7.8949,1
27.7421,27259.2736,3.0376,0
30.8525,66322.8233,14.8525,1
64.0675,84378.7881,34.9502,1
51.5646,63095.1362,17.7761,1
40.5167,70176.2922,14.9922,1
46.9368,56693.9042,15.117,1
42.959,57048.5993,14.1339,1
54.226,96707.5842,26.9097,1
37.1247,60299.8473,19.3684,0
33.0949,34533.2474,8.4122,1
44.9843,48208.812,9.5122,1
59.4655,89002.4128,23.1196,0
36.6587,31843.4229,0.0,0
18.4356,22475.7325,0.0,0
31.3744,51941.5528,12.3703,0
39.997,58384.4013,13.3643,1
39.569,60688.0945,12.5179,1
53.5923,70966.3477,14.815,1
56.8685,79490.9412,23.1972,1
33.2093,40659.2291,5.5565,1
53.4266,82533.3199,26.2846,1
50.5601,75897.7228,19.8907,1
37.0546,33465.0469,1.2841,0
61.0581,79962.5222,24.402,1
24.2777,50304.4332,5.9081,0
40.1289,38853.2383,10.1759,1
29.6309,22699.8278,5.7665,0
21.6708,28294.4549,2.1721,0
41.7579,52616.0497,11.9244,1
27.6539,41957.3413,8.8816,0
56.0085,75358.3825,19.3156,1
55.925,81190.7992,24.8421,1
53.0528,73760.6032,21.1505,0
61.9254,111996.7177,30.1,1
37.2167,38995.6771,11.8679,1
64.6643,81617.8175,29.8383,1
35.6553,32729.4608,7.1138,0
26.3883,21127.4419,1.558,0
28.4664,39408.6829,5.6207,0
43.0009,75749.9136,21.5451,1
30.9555,48718.5612,13.1271,1
54.0045,89746.122,28.3786,1
22.7421,41745.2919,6.4731,0
36.9065,49256.2106,9.3718,0
20.6529,26610.8788,0.0,0
46.1021,50152.6579,10.6704,1
24.7332,23342.6451,0.2672,0
59.3466,100296.0128,28.4058,1
41.2942,74294.3955,24.4548,1
37.5673,44277.5936,4.254,0
40.2554,54869.0104,15.3684,0
44.4321,59410.87,8.2921,1
29.4144,54320.999,7.2144,1
52.0555,70490.0948,17.5456,1
46.3373,66245.3048,19.5596,1
40.5315,48922.6965,6.1384,0
18.7207,22910.7695,2.7207,0
29.4019,49469.4448,13.4019,0
43.9477,55626.7286,16.5055,1
42.1024,54044.0217,13.5827,0
40.066,50218.0213,18.3387,1
28.3999,47743.4516,7.9848,0
45.2197,62850.2131,14.4697,0
41.4672,58388.8583,17.8729,1
56.6148,92079.657,31.2278,1
25.9555,32009.8995,3.0093,0
43.4804,57665.6426,14.4817,0
49.4061,75527.9996,21.5706,1
28.8774,36835.8475,4.7896,0
49.3375,63674.2109,19.5263,1
18.3108,25708.5607,0.0,0
18.8057,31184.5529,0.0,0
60.7593,94953.941,29.4911,1
56.3151,85922.0273,27.0716,1
37.0833,21111.8704,0.0,0
48.7256,91757.5377,25.9949,1
35.8254,45831.7832,8.508,0
38.3938,56242.9361,11.9672,0
22.482,26853.7689,0.0,0
40.3485,76204.2497,22.004,1
60.2676,86008.9272,26.4801,1
45.5907,62247.4352,15.2929,1
21.6161,35143.3649,1.4684,0
33.5913,38885.7012,4.495,0
52.0357,52932.8253,9.4473,0
34.0079,51991.5144,10.2426,0
54.3571,87114.2444,26.8309,1
62.2337,79898.3803,28.7249,1
22.0276,16856.5744,0.0,0
51.4488,61985.1108,19.391,1
23.0079,36166.5357,4.5871,0
26.8074,29739.2335,6.2119,0
19.2343,29369.8839,0.0,0
31.7168,35839.6694,4.6933,0
60.5448,98523.6202,33.5594,1
32.1532,47588.3643,11.1653,1
37.7918,49638.2814,9.5785,0
45.9089,73322.0609,20.6006,1
62.5947,97161.2813,26.1355,1
56.3273,90077.9695,20.9218,1
33.0713,48427.3537,10.8209,0
31.6981,55568.1992,15.6981,1
29.3939,40224.674,0.0,0
45.8347,55795.6599,18.5398,1
62.7912,83410.928,22.5096,1
56.4914,87832.9394,26.2422,1
47.7668,81754.8638,18.8827,1
64.5629,72903.4756,22.8949,1
61.2584,76769.3788,26.2475,1
43.2346,51472.423,11.1793,0
48.9073,72862.579,15.3927,1
36.782,57919.2168,14.1882,1
18.4957,36326.1036,0.0,0
38.9516,41859.1525,11.5062,0
41.5219,59154.1111,13.4918,0
23.4553,39154.2482,3.8978,0
39.4006,67175.7498,13.9121,1
32.9887,41394.8996,8.6329,1
57.9115,67319.0544,21.8095,1
26.1993,53031.5786,10.1993,0
28.8972,36930.108,2.5888,1
46.863,64097.8865,14.2036,1
51.1226,91576.6526,23.0302,1
58.983,86898.5591,25.1191,1
30.3306,39306.9428,9.5814,0
45.5892,47096.3142,12.3315,1
56.2457,73583.2075,23.6245,1
23.5395,25748.0554,0.0,0
42.0088,57740.0883,12.2716,1
50.5913,54503.8309,22.511,1
41.0132,68112.35,16.177,1
18.4504,36382.6321,0.0,0
41.7556,46771.791,7.3903,0
21.8855,49145.565,4.2728,0
30.9181,35416.0634,3.7658,0
43.8371,69165.9896,17.6868,1
56.6943,84447.9359,19.3723,1
64.5195,111932.6128,32.4673,1
31.9923,52326.8348,12.113,1
64.716,109507.8072,37.5054,1
45.6324,68306.1571,12.8264,1
27.7111,33445.4715,2.1036,0
31.211,33050.108,2.7698,0
58.3268,91888.8652,22.5899,1
63.2503,79234.3738,31.9425,1
58.7057,85567.5254,26.0015,1
53.7893,65272.2323,20.5555,1
39.2436,40186.4839,10.751,1
42.2338,75966.3265,12.7051,1
18.1162,32073.5159,2.1162,0
39.5471,44549.8446,10.4569,1
38.1932,58848.2529,13.8153,0
33.8745,31640.9384,3.4176,0
20.2752,38737.3337,0.0,0
23.8391,28595.4842,4.3637,1
50.3638,81294.2615,20.4701,1
61.8381,101806.9336,27.6969,1
25.7797,35508.4789,7.0608,0
29.0048,20198.0978,1.116,0
28.631,37419.3001,4.8093,0
56.4041,90654.4034,29.4721,1
52.3459,84329.3401,23.1224,1
24.4451,19082.7612,2.866,1
42.9339,92656.799,25.5869,1
51.9543,68629.7963,19.7796,1
22.0743,45425.7682,3.6641,0
36.0495,55159.8848,13.9225,1
44.0096,58395.3467,18.6369,1
50.4524,69890.8033,24.2915,1
53.1487,86097.324,27.5781,1
62.8696,89105.3958,27.2262,1
63.9518,114562.4266,30.2211,1
58.4583,75335.9279,22.3483,0
54.2073,69353.3859,16.2239,1
19.8719,39290.3172,3.8719,0
37.5253,50648.9899,10.9152,1
46.9542,73367.2034,17.3014,1
43.2103,51628.0156,15.0562,0
50.0096,89422.8072,26.5442,1
22.052,18612.8289,0.0,0
32.5366,29485.6533,7.2007,0
25.7001,51926.9931,7.4789,0
51.876,81321.4901,22.6793,1
54.2572,87856.1863,19.7325,1
21.002,16046.5897,0.0,0
41.4817,55405.5561,16.3357,1
22.8365,21295.9293,0.0,0
58.5576,96255.4124,31.6382,1
25.054,37731.7278,9.054,0
37.7104,42627.2436,8.0614,0
30.7491,52220.5399,10.1358,1
55.8039,102377.4215,24.2144,1
39.8594,68781.4969,11.1075,1
27.4315,38598.044,8.9615,0
39.8046,42319.8582,8.4186,0
53.7427,72924.0022,19.9171,1
28.9509,42662.3988,0.1023,1
48.8933,64239.7931,11.6572,1
42.9013,71438.3815,15.438,1
22.3723,54137.2964,5.8986,0
50.9398,74654.2209,12.3514,1
56.5383,94548.6483,25.8932,1
63.3183,100890.5933,30.0397,1
52.5616,87341.5163,29.4231,1
27.5275,27064.1915,5.0953,0
37.1061,34226.5791,13.1108,1
32.4905,47951.5878,7.339,0
50.7533,99751.6578,26.4302,1
22.287,35680.1212,0.2539,0
64.5618,103200.7641,30.0729,1
53.1597,86863.0199,22.4396,1
57.0275,83787.3397,22.8905,1
35.4953,31803.0849,5.2939,0
19.0246,43183.095,0.0,0
24.0532,33655.2253,8.0532,0
25.8955,21469.1024,3.9634,0
19.3857,21646.408,0.0,0
59.5209,104404.1563,29.8411,1
31.8699,39756.2292,2.2624,1
27.3745,46119.0038,5.2326,0
55.7019,63845.8613,28.0389,1
40.7799,58306.2345,9.3618,1
26.4513,37306.3274,1.878,1
64.602,72771.8065,25.9141,0
63.7771,111665.4086,35.401,1
20.6277,41318.262,4.6277,0
55.4774,84238.7653,18.8388,1
55.8919,71427.6167,22.0878,1
50.9264,80391.6,26.3103,0
59.4364,78130.848,25.8318,1
22.2421,34125.6391,0.5189,0
27.4688,45138.971,3.91,0
57.6814,85498.0362,25.268,1
57.7846,89070.6305,20.5642,1
62.2704,91423.9282,27.3488,1
62.5886,102481.2582,31.5335,1
26.1875,43917.0725,9.803,1
45.6807,62292.895,13.6286,1
23.9854,12000.0,0.0,0
63.3636,102515.181,28.3607,1
63.474,106763.6317,30.918,1
29.1858,42089.6906,4.214,0
22.1701,15473.311,0.0,0
29.7284,39661.5765,2.3654,1
18.0602,35125.3904,0.0,0
35.7995,42299.493,8.1317,0
