age,experience,education_level,current_salary,target
57.1676,25.9628,1.0,73407.9106,1
48.0867,23.4723,3.0,75516.1182,1
61.2292,36.1216,2.0,108568.7238,1
54.6185,17.7121,1.0,73776.9428,1
56.4906,26.2336,2.0,70446.8547,1
47.5136,16.4729,4.0,90990.4038,1
47.3525,22.6891,2.0,69882.5178,1
21.487,0.0,4.0,50417.8891,0
46.9054,12.5868,5.0,73609.4178,1
46.4353,14.2128,5.0,66747.9511,1
41.7138,15.8875,4.0,86200.1553,1
54.3998,31.4283,5.0,91852.6032,1
29.8438,13.0332,5.0,51739.5191,0
50.8286,24.2137,4.0,68556.3931,1
24.0063,0.0,5.0,23490.9289,0
34.0614,9.1558,4.0,53794.6856,1
43.3692,14.9674,3.0,62894.2345,1
47.3628,20.7608,2.0,70661.3365,1
53.3624,23.3197,2.0,73105.6575,1
64.2687,26.4782,4.0,102221.0634,1
46.4192,18.679,4.0,78673.3024,1
53.8665,15.2246,3.0,90755.7133,1
59.5776,31.5588,4.0,106986.014,1
57.4413,26.3298,3.0,99300.0446,1
51.1602,20.5282,1.0,59454.9268,1
54.4801,20.9732,2.0,73506.666,1
60.5419,27.0328,5.0,102747.2223,1
26.8038,3.5027,1.0,21332.9743,0
18.9557,0.0,4.0,30169.4228,0
47.5281,14.0949,5.0,53820.6362,1
54.6197,16.2672,2.0,77090.6269,1
27.3751,4.9214,1.0,38935.0756,0
48.4043,16.8616,1.0,82079.5367,0
60.048,34.8238,4.0,97067.8797,1
21.8827,0.0,2.0,31144.1183,0
38.0275,8.0597,4.0,35137.2176,1
64.0613,32.0794,4.0,110084.909,1
54.7217,22.7808,1.0,57403.4361,1
25.2116,0.0,4.0,42109.3151,0
23.3321,5.114,2.0,39230.8391,0
64.8292,28.466,4.0,104210.8,0
56.0941,31.2574,3.0,106062.0024,1
51.3495,20.2181,3.0,67381.4678,1
44.039,22.3676,3.0,83513.3083,1
51.6959,16.4882,4.0,82894.1122,1
34.1922,4.6857,5.0,35379.1326,1
23.8356,2.9696,3.0,45708.6744,0
27.2262,3.298,5.0,61616.5983,0
45.2904,19.961,5.0,94272.3927,1
54.2381,21.7194,3.0,79749.6078,1
31.6146,12.2324,4.0,50514.7832,1
46.513,19.6955,3.0,81694.6597,1
42.2041,17.3522,1.0,60098.6319,1
29.6687,10.0977,2.0,59412.3316,0
39.9403,16.9988,1.0,66005.263,1
41.26,18.2387,4.0,69331.6326,1
36.9529,12.2593,5.0,63170.9328,1
64.4873,30.3726,5.0,107224.4107,1
53.4834,24.4697,5.0,93286.8046,1
59.9772,21.8643,2.0,88112.4817,1
33.8096,11.2979,5.0,57434.8139,1
55.4475,12.173,1.0,71315.4524,1
20.4137,0.0,5.0,42451.9599,0
26.9669,9.8269,4.0,40402.6504,0
59.0224,26.5032,2.0,93787.5951,0
39.6042,13.3075,5.0,67631.0163,1
46.6736,19.0466,5.0,98262.8932,1
40.9831,6.2349,4.0,60243.8739,0
35.8456,18.766,2.0,64441.0051,1
40.5167,17.5977,2.0,71257.499,1
29.2463,13.2463,2.0,61449.8365,0
18.2435,0.0,5.0,44164.0347,0
53.5278,21.7875,1.0,89224.5036,0
60.9218,26.3384,2.0,112476.8301,1
26.7566,3.3638,3.0,20579.3525,0
64.4877,39.1447,5.0,119275.1769,1
33.5422,7.4891,2.0,28619.1598,0
48.0201,15.9378,4.0,70982.9955,1
33.2093,8.1165,2.0,52125.4765,0
34.8989,6.1865,2.0,30171.4731,0
51.0672,20.0315,3.0,84259.8243,0
35.5604,10.4862,5.0,81195.9302,1
46.0033,18.646,5.0,70082.4804,1
44.917,18.7879,2.0,61358.2321,1
60.2478,26.0086,2.0,83246.2099,1
36.6096,12.5576,1.0,50353.0646,0
61.9254,38.8955,1.0,105518.1353,0
35.5997,3.7657,4.0,71732.2812,0
24.2505,3.1614,5.0,42081.8238,0
39.7612,5.8421,5.0,47262.1167,1
59.1348,26.8564,4.0,108029.0668,1
38.9827,14.0161,1.0,37559.4531,0
24.5864,5.3654,5.0,53638.5967,1
49.03,23.1355,2.0,65973.0405,1
49.9013,18.692,3.0,86496.4746,1
35.6936,14.383,5.0,70556.8413,0
44.4321,22.1537,2.0,70035.4226,1
43.1749,17.7467,2.0,66229.5908,0
45.6164,15.4132,2.0,68046.1485,0
23.5139,2.1762,4.0,40860.7294,0
31.3038,0.0,3.0,38886.2486,0
57.4674,33.4007,2.0,99803.6114,1
61.9336,24.3658,2.0,75052.5074,1
33.8655,14.6123,4.0,83072.4942,1
51.8547,10.8175,5.0,81434.851,1
20.2802,0.0,1.0,25010.64,0
35.5404,4.4961,5.0,43826.1678,1
51.9431,20.5657,5.0,85542.4718,0
23.0298,2.983,2.0,36946.6739,0
39.5729,10.782,2.0,66741.0822,0
53.7005,26.726,5.0,108736.4845,1
33.5697,12.9345,1.0,67765.3358,0
30.7415,12.7719,3.0,55072.8558,0
45.5907,15.1801,4.0,59925.8903,1
43.4064,9.5428,1.0,55881.9639,0
54.1433,26.6738,5.0,91184.5134,1
34.7231,13.9197,5.0,64756.524,1
25.2484,0.0,2.0,35108.3789,0
30.679,8.3299,4.0,57471.4515,0
54.8686,26.9225,4.0,87149.2264,0
29.4089,0.0,2.0,28826.2336,0
40.7589,15.4911,1.0,49245.3547,1
24.368,6.5182,5.0,58780.6363,0
45.9365,21.0096,3.0,67674.7777,1
31.6981,5.0916,5.0,40817.9566,0
27.3906,0.0,5.0,40253.11,0
55.4912,25.0019,4.0,87186.1251,1
35.7186,12.6544,4.0,48678.7036,0
43.5513,16.6637,5.0,72906.1293,1
46.7959,24.9485,5.0,106197.9051,1
18.4957,0.0,5.0,52728.3088,0
50.4506,24.2905,2.0,52730.771,1
62.2118,31.5642,4.0,118491.88,1
21.1572,3.8143,1.0,26761.5192,0
64.2433,30.5288,2.0,98581.5686,1
48.8935,12.8991,4.0,53991.0962,0
27.6719,4.2113,1.0,20439.2579,0
49.523,22.1916,4.0,80437.1721,1
57.7393,19.2184,3.0,77380.5042,1
35.5454,13.021,2.0,50255.8382,0
50.5913,7.9888,5.0,24238.7083,0
62.7366,23.7421,4.0,85537.501,1
37.5346,14.1608,1.0,46980.5343,1
54.6948,24.2391,5.0,107733.8866,1
56.6943,18.9984,1.0,82942.496,1
29.634,9.0461,1.0,19943.4573,0
29.1365,7.5174,3.0,41264.833,0
55.8557,18.7662,5.0,74365.8558,1
30.5651,14.5651,1.0,31256.7895,0
50.967,22.2643,2.0,80908.7109,1
45.139,16.0776,4.0,83659.4568,1
59.2339,31.3884,4.0,110830.8299,1
39.5471,10.3118,1.0,49267.1708,0
31.3289,1.7171,5.0,40347.2756,1
22.68,1.615,1.0,18997.0746,0
60.7421,27.6344,3.0,84449.6626,1
60.4786,30.1459,3.0,114630.7801,1
21.6631,0.9214,5.0,37315.5568,0
37.8488,12.6521,4.0,63612.8201,1
56.2283,27.6374,2.0,77576.4647,1
34.5058,10.8383,4.0,73864.4403,1
52.3104,20.2286,3.0,80374.4517,1
46.2004,10.9185,1.0,44166.0463,0
31.8905,6.4835,1.0,36053.5808,0
21.3376,0.0955,3.0,31849.8822,0
53.8481,21.0238,1.0,64428.5928,1
41.8107,10.3522,4.0,54154.82,1
21.714,0.0,2.0,14068.814,0
48.2283,16.9838,2.0,68516.9905,1
52.8596,24.1182,2.0,91017.3086,1
54.8004,23.0863,2.0,86061.0664,1
38.1783,18.6059,5.0,86619.6268,1
41.4817,9.8309,3.0,60745.1689,1
58.3584,31.4065,1.0,98624.1237,1
43.9846,22.5902,4.0,74959.271,1
23.6118,7.6118,1.0,45837.3338,0
31.2684,9.0723,5.0,50711.6691,1
35.3089,1.8928,4.0,34808.7586,0
61.8227,34.5996,1.0,116580.1841,1
42.9013,8.7613,2.0,63000.7418,1
28.8792,7.7512,3.0,44850.8128,0
45.8191,16.9167,1.0,60926.9419,0
50.9341,20.4466,3.0,66568.188,1
39.1296,10.046,3.0,62964.2909,1
23.6359,5.1849,5.0,64881.176,1
42.1326,16.4616,3.0,57867.817,1
29.7431,0.0,2.0,35314.695,0
50.2554,23.4855,1.0,85456.4306,1
38.8413,19.3138,3.0,82264.9085,1
41.3179,11.5621,4.0,62422.0051,0
19.6285,0.0,3.0,31660.6421,0
48.2047,21.3377,5.0,100024.6775,1
40.5452,14.2175,5.0,60294.6672,0
54.5913,26.5297,1.0,83304.4212,1
29.6493,5.8369,1.0,53136.5627,0
64.6025,30.1563,2.0,88492.4165,1
50.9264,26.6759,5.0,113314.0016,1
19.7843,0.0,1.0,45088.1025,0
24.133,0.0,3.0,12940.3225,0
35.1498,11.2766,1.0,56025.7553,1
25.4027,9.4027,4.0,51771.3576,0
28.4921,0.0,5.0,41492.0709,1
50.9944,12.4771,5.0,66306.6993,1
62.0243,28.1304,2.0,79259.7361,1
56.6181,21.1878,3.0,63434.7067,1
18.0602,0.0,4.0,18470.9119,0
35.6413,13.8435,5.0,58456.0075,1
32.9797,12.0516,1.0,44402.1221,0
22.3759,0.0,4.0,30939.5612,0
33.5614,5.1258,2.0,33029.4188,0
22.508,0.0,4.0,42993.2795,0
27.3847,10.6719,1.0,44307.723,0
40.1344,16.0312,5.0,67683.0027,1
30.3798,7.3701,3.0,59804.9426,0
37.4574,11.2692,1.0,47990.4441,0
59.4377,24.8219,4.0,105180.0558,1
44.8598,19.1544,4.0,84311.9656,1
64.4492,28.2366,4.0,86288.0198,1
55.9452,29.6679,5.0,104302.4231,1
42.5604,8.7812,4.0,33257.6502,1
22.9648,2.2498,5.0,34995.396,0
26.0934,0.0,4.0,59383.7096,0
29.1662,4.871,3.0,23864.8598,0
22.6162,5.9259,2.0,45176.1249,0
48.3411,20.2231,4.0,99123.5055,1
32.6228,2.4374,5.0,47448.5847,0
27.4342,5.0767,1.0,38668.9279,0
23.822,0.0,1.0,36126.9633,0
34.1797,10.7128,1.0,38560.4635,0
48.4269,13.5782,2.0,56455.6931,1
60.8412,24.0539,1.0,72847.7955,1
60.0877,20.0831,3.0,62858.4888,1
18.3453,2.3453,3.0,37242.9471,0
30.9947,1.4335,3.0,44676.8041,0
53.9773,30.04,5.0,87277.984,1
60.6248,28.7065,4.0,91682.4989,1
28.4511,0.0,3.0,37095.6369,0
24.0134,0.0,3.0,55402.8512,0
28.4459,6.2628,4.0,67087.2269,0
58.7205,35.452,5.0,122769.2847,1
42.9024,6.7499,2.0,52764.8282,0
32.87,3.4113,2.0,46464.4869,1
30.8558,6.5812,2.0,37471.4831,0
63.3704,25.3059,4.0,107596.8173,1
42.9586,15.5238,2.0,61296.0397,1
21.0685,2.7449,1.0,24546.7102,0
64.7872,25.1218,3.0,116645.0546,1
64.2893,29.5757,2.0,88510.6047,1
59.1976,26.5663,1.0,91867.4621,1
38.8828,10.8619,1.0,43637.7993,0
49.0982,17.5207,5.0,81650.4552,1
54.8837,23.1922,4.0,71704.651,1
31.8815,12.5651,2.0,58564.5753,1
44.9852,16.7152,4.0,65275.1288,1
28.8645,8.954,4.0,58554.8775,0
38.0218,7.9036,1.0,46924.9569,0
34.8038,3.0311,1.0,35790.1483,0
50.4254,23.5753,4.0,110684.1541,1
62.2959,31.6967,5.0,118854.2953,1
58.5411,20.9386,2.0,80599.0844,1
18.5809,1.5016,5.0,34055.9834,0
47.0572,13.8866,4.0,63453.7807,0
44.2422,17.6176,2.0,68428.969,1
33.5521,15.2215,3.0,53547.8271,1
55.6593,15.2734,4.0,86679.5977,1
43.8076,16.2451,1.0,77637.9598,1
39.4418,7.713,2.0,66715.8153,0
39.269,7.9549,1.0,55977.7925,0
42.5333,14.3483,2.0,63664.9822,1
23.6751,3.1917,4.0,37220.2297,1
47.7623,17.3921,4.0,73253.666,1
44.0016,15.7404,4.0,81982.8047,1
52.3332,25.128,5.0,107505.1239,1
29.6672,8.7376,4.0,70319.7533,0
53.1761,20.1888,3.0,101651.7531,1
34.2288,15.2028,2.0,58377.6358,1
23.424,0.0,5.0,53933.4249,0
37.8522,7.7452,1.0,37400.06,0
25.564,1.7347,1.0,38204.0727,1
58.7977,28.2692,5.0,117688.505,1
31.519,1.2409,4.0,29085.0249,0
27.5451,3.6524,4.0,43656.7939,0
46.3592,19.5652,3.0,52308.8866,1
19.9098,0.0,3.0,30479.1225,0
25.2759,4.7685,1.0,45973.9744,0
21.4254,5.4254,3.0,49115.8689,0
36.9606,4.9528,3.0,63619.8207,0
53.3503,18.886,1.0,47348.6439,1
19.8742,2.011,1.0,22524.3555,0
55.7324,19.5713,4.0,80987.6446,1
63.6666,30.8649,1.0,72608.4466,1
56.9512,16.7838,4.0,93722.9235,1
22.1135,6.1135,5.0,62946.7011,0
32.871,10.71,4.0,52489.0908,0
50.9415,30.7245,1.0,97185.8156,1
56.6398,35.6993,1.0,84220.0059,1
63.1263,34.0687,3.0,133262.2703,1
36.5218,11.5438,5.0,77406.8304,1
48.3588,16.1435,2.0,62260.2181,1
53.299,17.0725,5.0,82674.0147,1
40.8979,12.3834,2.0,62773.7807,0
32.3667,12.2485,5.0,72463.3413,1
54.926,22.0905,3.0,77305.7608,1
32.3572,3.7424,5.0,45453.6354,0
27.2323,3.0719,1.0,23424.4429,0
27.9998,0.0,1.0,15727.3722,0
28.4954,5.7589,3.0,27363.6414,0
63.308,30.2705,5.0,117707.5722,1
58.9932,31.3629,3.0,100694.4279,1
42.3406,18.136,3.0,91416.6976,1
63.5167,27.3288,3.0,90772.2493,1
21.6584,4.171,3.0,33738.8456,0
40.6592,8.94,2.0,43227.8718,1
46.295,20.1802,1.0,81004.6863,1
45.7672,14.1415,2.0,46663.5266,0
20.6279,0.0,3.0,45752.1855,0
52.2148,26.7985,2.0,74645.8722,1
55.347,31.9485,2.0,89467.7574,1
21.2356,0.0,1.0,30259.7742,0
40.3659,14.5428,5.0,80194.0541,1
60.3933,27.4151,4.0,91341.183,1
55.1091,23.193,4.0,101745.3273,1
29.9623,6.781,1.0,20452.9201,0
45.1654,23.6758,1.0,76604.354,1
38.0254,8.3271,5.0,53246.7411,1
54.8381,16.3463,4.0,84628.0575,1
36.7121,16.7918,1.0,80214.0091,1
33.9066,11.4086,5.0,56139.9379,0
56.693,18.5816,1.0,58974.0653,0
46.8564,19.0076,5.0,82469.8766,1
18.5034,2.5034,5.0,22381.9506,0
19.6949,0.0,2.0,28567.7871,0
37.0562,11.0999,1.0,58208.0122,0
56.3292,22.4131,2.0,80630.4239,1
23.0039,4.3227,1.0,42242.1152,0
63.4046,24.0207,5.0,93066.7645,1
58.5151,22.608,4.0,100423.6927,1
42.2757,18.7466,1.0,54785.81,1
44.0639,17.6957,2.0,84997.1913,1
27.3843,0.0,2.0,27759.2671,0
23.0144,7.0144,4.0,48478.6524,0
41.14,15.2263,5.0,90510.1404,1
45.1033,24.7433,4.0,97620.6495,1
23.6573,0.0,5.0,44608.1782,0
46.8006,17.4877,2.0,77976.1247,1
53.3532,27.1873,3.0,102840.9311,1
22.6939,0.0595,4.0,42876.9395,1
37.8115,5.9655,2.0,46611.4937,0
44.4205,11.7366,2.0,51222.9767,1
34.9652,5.5128,5.0,51130.5242,0
46.4621,11.4538,5.0,62295.0762,1
59.8127,22.3091,4.0,106044.1688,0
37.8254,7.6725,1.0,33861.349,0
36.5864,4.3054,4.0,47483.634,1
58.148,28.508,3.0,107135.7669,1
59.2985,28.7949,5.0,103127.8092,1
21.9626,4.3104,2.0,33062.8659,1
49.1868,26.3066,3.0,112528.4972,1
62.5788,22.9943,4.0,93006.8328,1
34.3169,7.8611,5.0,46122.8798,1
42.5959,14.9644,3.0,62303.3929,1
38.2305,9.8979,3.0,67152.4246,1
29.7451,4.0649,4.0,30046.8568,0
50.6145,19.7053,3.0,65398.9852,1
31.611,2.5774,3.0,30561.7098,1
63.6996,40.3936,3.0,118896.8112,1
34.0699,5.4437,3.0,62825.2093,1
54.4557,13.5362,1.0,64413.4228,1
63.8061,29.0591,4.0,89128.5393,1
27.797,2.0506,4.0,38236.4723,0
42.4835,14.6056,2.0,73133.1278,1
18.7082,0.0,3.0,42687.8838,0
50.3551,25.0471,2.0,89519.7161,1
20.8094,0.0,2.0,32164.9171,0
53.5648,24.4901,2.0,67843.8478,1
44.2742,17.3999,5.0,66745.245,1
57.0734,30.4967,1.0,91630.9208,1
41.78,12.8767,2.0,56658.3614,1
63.4567,31.1582,4.0,101116.4616,1
48.9679,21.6888,1.0,86093.3256,1
44.8376,20.0713,5.0,72212.1629,1
61.2887,35.7948,4.0,125030.4004,1
59.8502,30.9845,1.0,80483.3987,1
63.1476,31.3749,1.0,87749.503,1
62.5327,23.4574,1.0,84121.0219,1
55.2457,19.0942,5.0,87294.6219,1
32.8123,12.0317,3.0,61661.6261,0
35.628,13.0017,5.0,65998.6021,1
64.199,25.6052,3.0,75878.495,0
56.6499,32.5195,5.0,122146.9576,1
30.4544,8.8862,3.0,46553.8276,0
55.2665,20.0964,2.0,82508.3865,1
19.7565,0.0712,1.0,18867.6839,0
54.2083,27.6336,5.0,125111.1147,1
44.5509,12.7896,2.0,67530.4927,1
28.438,6.7984,3.0,31165.8704,0
30.3402,1.8867,2.0,39380.703,0
64.8627,34.6805,5.0,100098.289,1
49.5721,15.9128,3.0,77018.7168,1
55.7314,28.1788,5.0,95999.9724,1
58.0799,27.2008,5.0,122552.8166,1
39.1529,12.9865,1.0,36754.7186,0
47.283,25.5929,1.0,79027.8807,1
50.7368,22.3796,3.0,65035.0055,1
49.0247,20.0777,4.0,80984.4903,1
42.9834,17.556,2.0,66690.9266,0
32.3316,0.0,1.0,30121.1644,0
56.159,37.8257,3.0,144018.2111,1
25.1303,7.86,1.0,36464.3301,0
44.9262,11.2629,4.0,65494.8037,1
43.4436,18.4007,3.0,67162.2788,0
48.8429,23.7978,5.0,103621.9487,1
59.343,25.7138,4.0,91192.1921,1
25.142,0.0,2.0,25207.9958,0
28.8528,5.7518,3.0,57839.5981,0
26.6469,0.0,4.0,47912.3405,1
30.6834,0.0,2.0,40567.8366,0
33.2701,7.2448,4.0,44748.1398,0
36.5251,16.2593,5.0,79450.2016,1
19.9935,0.0,2.0,19923.7231,0
20.3169,0.0,3.0,38831.7196,0
60.4728,38.0464,4.0,143796.0987,1
50.7174,23.9488,4.0,92286.6425,1
33.2315,2.0372,2.0,23673.6194,0
36.0521,11.584,2.0,45495.3031,0
25.0542,0.0,2.0,25749.1631,0
47.4433,20.2043,2.0,65547.5018,0
46.5752,17.7783,4.0,71223.9394,1
29.5015,0.0,5.0,33483.7386,1
19.5243,0.0,5.0,49093.2007,0
49.5883,14.2236,5.0,73516.2675,1
54.1201,18.5901,3.0,58094.395,1
24.3237,0.362,5.0,30358.2684,0
42.8605,17.2532,1.0,76042.7375,1
32.875,0.0,3.0,32680.9572,0
59.5322,21.4381,2.0,91234.5009,1
57.8593,31.2803,4.0,65157.7305,1
29.9576,12.4052,1.0,62139.5816,0
52.0466,20.7631,2.0,77178.8711,1
24.3804,2.4266,2.0,29712.3945,0
52.9015,24.3124,3.0,79065.6422,1
21.112,5.112,2.0,26383.5172,0
36.3096,2.3705,3.0,26439.324,0
39.2396,15.3115,3.0,61729.1116,0
38.8574,17.5807,5.0,73413.48,1
54.1656,20.2127,1.0,90655.3572,1
51.5428,20.8395,1.0,70966.0808,1
48.9723,19.7249,3.0,75474.3678,1
43.017,16.1536,3.0,44911.2387,1
34.465,4.9501,3.0,46495.454,0
59.9354,25.8148,1.0,77751.0713,1
46.0177,18.9713,5.0,82289.9007,1
53.6449,23.4911,4.0,87287.4894,1
48.2877,16.868,4.0,81857.4005,1
26.6176,7.0553,3.0,40113.5828,0
54.0933,27.3975,5.0,100854.3489,1
21.3334,0.0,5.0,52721.3683,0
56.254,23.8915,5.0,93635.1957,1
49.4714,19.2739,4.0,59743.9401,1
37.0723,13.8522,5.0,66173.1682,1
22.2551,4.2839,1.0,18234.0293,0
27.6661,10.4924,3.0,75452.1579,0
61.0105,34.422,5.0,122216.7999,1
20.497,3.3494,5.0,52649.5815,0
36.5306,8.5046,4.0,58946.7844,0
34.9335,13.9985,4.0,72616.1858,1
51.9029,16.4051,2.0,63400.2383,1
38.0081,13.8353,2.0,57292.6038,1
18.3492,0.0,5.0,46917.5399,0
35.3232,9.871,5.0,59848.5726,0
54.6069,21.5863,5.0,86851.9096,1
55.5106,23.6511,3.0,102563.213,1
44.9764,14.3482,3.0,72306.7853,1
20.8866,0.0,4.0,35166.4081,1
40.7837,14.8661,3.0,64946.8152,1
60.7762,35.8061,2.0,107779.7242,1
42.7873,26.7873,2.0,98462.0308,1
49.0514,14.5235,2.0,50687.0298,1
25.8772,0.0,5.0,48783.9102,0
31.5732,12.7763,4.0,65203.2029,1
34.6299,12.7724,3.0,43962.1172,0
53.2073,18.5255,5.0,98561.5009,1
18.3984,1.9041,5.0,45547.4227,1
22.3212,3.3069,5.0,46113.5792,0
58.2527,30.9078,5.0,116340.6162,1
21.5586,3.3549,4.0,54961.3136,0
25.6124,9.6124,4.0,66815.8747,1
64.0328,27.4898,2.0,102390.9035,1
48.2369,25.3816,1.0,65234.7667,1
48.6847,18.2923,1.0,65317.2599,1
42.223,19.7436,4.0,80299.054,1
50.3953,21.9089,4.0,81983.0546,1
64.8597,28.1009,3.0,85048.5423,1
36.0557,7.7238,2.0,38894.1261,0
38.5852,12.4219,1.0,58300.1508,1
43.0952,17.4966,4.0,68101.3578,1
27.9489,0.965,5.0,39427.0144,0
40.1473,13.6752,5.0,67409.0975,1
55.3038,21.1526,5.0,82995.7756,1
27.5241,0.2472,3.0,29726.3516,0
24.4545,6.1701,1.0,22553.993,0
44.0102,19.7026,4.0,76616.6684,1
25.4144,3.8908,1.0,30626.4262,0
54.3104,20.0153,2.0,54046.0513,1
19.7682,0.799,1.0,36821.5696,0
42.9194,15.163,1.0,57353.209,0
27.7811,6.3802,2.0,48235.4382,1
48.3085,25.3386,3.0,89363.355,1
20.4655,0.0,1.0,25437.717,0
27.3413,0.0,3.0,30918.3181,0
59.8942,32.9831,1.0,118709.4196,1
51.8316,22.8046,3.0,84823.6935,1
